78	theirs_lacks	validate-ci-gates.sh → repoint the dormant-gate scan at a REAL enforcement surface, and
118	theirs_lacks	validate-retro-evidence.sh → resolve the retro branch via origin/<branch>, and delegate the
139	theirs_lacks	validate-mandatory-rules.sh → subset-mode flags and a shared gate-log-rotation predicate.
157	NO-RECEIPT	SKILL.md:665 cites the provenance-block schema at a path that does not resolve from the
177	manual	Rule 18 has no carve-out for terse traceability citations, though the codebase depends on one
226	NO-RECEIPT	extensions/checks/gate-validation-push.md
252	NO-RECEIPT	extensions/steps-domain/deploy-validate-push.md
255	NO-RECEIPT	extensions/steps-domain/retro-push.md
259	NO-RECEIPT	extensions/steps-domain/implementation-push.md
262	NO-RECEIPT	extensions/steps-domain/SKILL-push.md
265	NO-RECEIPT	extensions/steps-domain/route-push.md
267	NO-RECEIPT	extensions/steps-domain/sprint-review-push.md
269	NO-RECEIPT	extensions/steps-domain/stories-test-strategy-push.md
271	NO-RECEIPT	extensions/steps-domain/artifact-consolidation-push.md
273	NO-RECEIPT	extensions/roles/code-reviewer-push.md
275	NO-RECEIPT	extensions/roles/qa-push.md
276	NO-RECEIPT	extensions/roles/dev-push.md
281	NO-RECEIPT	.claude/team-roles/tea.md
297	NO-RECEIPT	scripts/validate-provenance-block.sh
302	NO-RECEIPT	scripts/validate-provenance-block.sh
305	NO-RECEIPT	scripts/scan-stray-provenance.sh
316	theirs_lacks	Decision-branch execution-coverage for sprint-review §3 "Fix and
334	NO-RECEIPT	layer-drift.sh EXTENSION-RESTATES-CORE matches on section number + title,
349	NO-RECEIPT	S295 retro-batch closures (restructured 2026-07-22, story-296-6).
351	NO-RECEIPT	PC-S295-RETRO-STEERING-AUDIT-SESSION-SCOPED
387	NO-RECEIPT	PC-S295-FLOWLOG-HEADER-LEGEND-IS-GREPPABLE-AS-DATA
436	theirs_has	PC-S295-RETRO-STEP5C-DEADLOCK-ON-DEFERRED-RED
510	sh	PC-S295-RETRO-CHECK5-SELF-REFERENTIAL
553	theirs_lacks	PC-S295-RETRO-LEAD-SOLO-EVAL-LLM-CHECK
577	theirs_has	PC-S295-RETRO-RED-SMOKE-CROSSING-SPRINT-BOUNDARY
610	theirs_lacks	PC-S295-RETRO-RULE18-STABLE-IDENTIFIER-TAGS
638	NO-RECEIPT	steps/gate-validation.md Check 25 has no remediation path for arm B
654	NO-RECEIPT	PC-S296-ESCALATION-STATUS-APPENDS-INSTEAD-OF-REPLACING
673	NO-RECEIPT	PC-S296-H2-ATTESTED-ANCHOR-DEFEATED-BY-BACKTICKS
687	NO-RECEIPT	PC-S296-SNAPSHOT-BUDGET-UNENFORCED-AT-GATES
701	NO-RECEIPT	PC-S296-PIPELINE-POSITION-MUST-BE-EDITED-IN-PLACE
715	NO-RECEIPT	PC-S296-DEPLOY-VALIDATE-NA-RITUAL
728	NO-RECEIPT	PC-S296-PAUSE-SKIP-ARM-MISSES-TASK-NOTIFICATIONS
776	NO-RECEIPT	PC-S295-RETRO-PARALLEL-OPEN-COUNT-METHOD
798	NO-RECEIPT	PC-S295-RETRO-COLLAPSE-PAUSE-FLAG-AND-BOUNDED-JOIN
821	sh	PC-S296-H1-FIXTURE-CITATION-GAP
860	theirs_has	PC-S296-REJECTION-CARRIES-UNRELATED-GAPS
931	manual	PC-S297-POOL-LOOP-SUBSHELL-TRAP-UNDOCUMENTED
1030	NO-RECEIPT	validate-retro-prereq.sh → RETIRED (no stock equivalent).
1045	sh	PC-S297-FFCLUSTER-SHA-STALE
1069	theirs_has	PC-S297-LOCKED-ANCHOR-VALIDATOR-VACUOUS
1093	theirs_has	PC-S297-CHECK16-ELEMENT2-REGEX-DEAD
1125	theirs_has	PC-S297-RETRO-MD-CLAIMS-NONEXISTENT-GHA-WORKFLOW
1136	theirs_has	PC-S297-PROVENANCE-FLAGLESS-FAIL-OPEN-BY-DEFAULT
1149	sh	PC-S297-GUARDED-MERGE-PROVENANCE-INDIRECT-INVOCATION
1165	theirs_has	PC-S297-CHECK17-PRD-ARM-CONTRADICTS-RULE-20-BLOCK-PLACEMENT
1215	manual	PC-S297-LOCKED-FENCE-LAUNDERS-AGENT-PROSE
1226	manual	PC-S297-VALIDATOR-PASS-VS-NOTHING-TO-CHECK-CONVENTION
1240	theirs_has	PC-S297-LOCKED-ANCHOR-EXEMPTED-BY-SILENCE
1254	theirs_has	PC-S297-VALIDATE-MANDATORY-RULES-CHECK3-CHECK4-DEAD
1269	manual	PC-S297-CHECK16-SCOPE-AMBIGUITY
1305	manual	PC-S297-RETRO-UPSTREAM-PM-AC-PRECISION
1346	manual	PC-S297-RETRO-OVERRIDES-F1F2F3F6
1361	theirs_has	PC-S297-GATE-PROCEDURES-DISPATCH-NOT-MANDATED-BACKGROUND
1381	theirs_has	PC-S297-VALIDATE-STEERING-BUDGET-TRANSCRIPT-PROVENANCE
1406	theirs_has	PC-S299-UNREGISTERED-DRIFT-SCAN-SKIPS-CORE-FIXTURES-AND-CORE-SCRIPTS
