78	validate-ci-gates.sh → repoint the dormant-gate scan at a REAL enforcement surface, and	NOT-UPSTREAM	n/a	LIVE	validators	brief-annotation	no-pc-id
118	validate-retro-evidence.sh → resolve the retro branch via origin/<branch>, and delegate the	HOLDS-MECHANISM-WRONG	n/a	LIVE	validators	brief-annotation	no-pc-id
139	validate-mandatory-rules.sh → subset-mode flags and a shared gate-log-rotation predicate.	DUPLICATE-OF-pin1011	REFUTED	LIVE (close withdrawn)	validators	brief-annotation	no-pc-id
157	SKILL.md:665 cites the provenance-block schema at a path that does not resolve from the	ALREADY-FIXED-v0.143.6	CLOSE-CONFIRMED	CLOSE	ai-dlc-skill	brief-annotation	no-pc-id+no-receipt
177	Rule 18 has no carve-out for terse traceability citations, though the codebase depends on one	HOLDS-MECHANISM-WRONG	n/a	LIVE	ai-dlc-skill	brief-annotation	no-pc-id
226	extensions/checks/gate-validation-push.md	HOLDS-MECHANISM-WRONG	n/a	LIVE	layer-extensions	brief-annotation	no-pc-id+no-receipt
252	extensions/steps-domain/deploy-validate-push.md	HOLDS-MECHANISM-WRONG	n/a	LIVE	layer-extensions	brief-annotation	no-pc-id+no-receipt
255	extensions/steps-domain/retro-push.md	HOLDS-MECHANISM-WRONG	n/a	LIVE	layer-extensions	brief-annotation	no-pc-id+no-receipt
259	extensions/steps-domain/implementation-push.md	HOLDS-MECHANISM-WRONG	n/a	LIVE	layer-extensions	brief-annotation	no-pc-id+no-receipt
262	extensions/steps-domain/SKILL-push.md	HOLDS-MECHANISM-WRONG	n/a	LIVE	layer-extensions	brief-annotation	no-pc-id+no-receipt
265	extensions/steps-domain/route-push.md	HOLDS	n/a	LIVE	layer-extensions	brief-annotation	no-pc-id+no-receipt
267	extensions/steps-domain/sprint-review-push.md	HOLDS	n/a	LIVE	layer-extensions	brief-annotation	no-pc-id+no-receipt
269	extensions/steps-domain/stories-test-strategy-push.md	HOLDS	n/a	LIVE	ai-dlc-skill	brief-annotation	no-pc-id+no-receipt
271	extensions/steps-domain/artifact-consolidation-push.md	ALREADY-FIXED-v0.33.2	CLOSE-CONFIRMED	CLOSE	ai-dlc-skill	brief-annotation	no-pc-id+no-receipt
273	extensions/roles/code-reviewer-push.md	ALREADY-FIXED-v0.277.0	CLOSE-NARROWED	CLOSE + file the sub-claim	roles	brief-annotation	no-pc-id+no-receipt
275	extensions/roles/qa-push.md	ALREADY-FIXED-v0.277.0	CLOSE-CONFIRMED	CLOSE	roles	brief-annotation	no-pc-id+no-receipt
276	extensions/roles/dev-push.md	HOLDS-MECHANISM-WRONG	n/a	LIVE	roles	brief-annotation	no-pc-id+no-receipt
281	.claude/team-roles/tea.md	ALREADY-FIXED-v0.21.0	CLOSE-NARROWED	CLOSE + file the sub-claim	roles	brief-annotation	no-pc-id+no-receipt
297	scripts/validate-provenance-block.sh	ALREADY-FIXED-v0.128.0	CLOSE-CONFIRMED	CLOSE	validators	brief-annotation	no-pc-id+no-receipt
302	scripts/validate-provenance-block.sh	ALREADY-FIXED-v0.60.0	CLOSE-CONFIRMED	CLOSE	validators	brief-annotation	no-pc-id+no-receipt
305	scripts/scan-stray-provenance.sh	ALREADY-FIXED-v0.198.0	CLOSE-CONFIRMED	CLOSE	validators	brief-annotation	no-pc-id+no-receipt
316	Decision-branch execution-coverage for sprint-review §3 "Fix and	HOLDS-WIDER	n/a	LIVE	ai-dlc-skill	brief-annotation	no-pc-id
334	layer-drift.sh EXTENSION-RESTATES-CORE matches on section number + title,	HOLDS-MECHANISM-WRONG	n/a	LIVE	reconcile	brief-annotation	no-pc-id+no-receipt
349	S295 retro-batch closures (restructured 2026-07-22, story-296-6).	NOT-UPSTREAM-scaffolding	n/a	LIVE	consumer-local	brief-annotation	no-pc-id+no-receipt
351	PC-S295-RETRO-STEERING-AUDIT-SESSION-SCOPED	ALREADY-FIXED-v0.117.0	CLOSE-CONFIRMED	CLOSE	ai-dlc-skill	brief-annotation	no-receipt
387	PC-S295-FLOWLOG-HEADER-LEGEND-IS-GREPPABLE-AS-DATA	ALREADY-FIXED-v0.117.0	CLOSE-NARROWED	CLOSE + file the sub-claim	hooks	brief-annotation	no-receipt
436	PC-S295-RETRO-STEP5C-DEADLOCK-ON-DEFERRED-RED	HOLDS-WIDER	n/a	LIVE	ai-dlc-skill	changelog-cite	-
510	PC-S295-RETRO-CHECK5-SELF-REFERENTIAL	HOLDS	n/a	LIVE	ai-dlc-skill	changelog-cite	-
553	PC-S295-RETRO-LEAD-SOLO-EVAL-LLM-CHECK	FALSIFIED	CLOSE-CONFIRMED	CLOSE	ai-dlc-skill	changelog-cite	-
577	PC-S295-RETRO-RED-SMOKE-CROSSING-SPRINT-BOUNDARY	HOLDS-WIDER	n/a	LIVE	ai-dlc-skill	changelog-cite	-
610	PC-S295-RETRO-RULE18-STABLE-IDENTIFIER-TAGS	DUPLICATE-OF-pin177	CLOSE-NARROWED	CLOSE + file the sub-claim	ai-dlc-skill	changelog-cite	-
638	steps/gate-validation.md Check 25 has no remediation path for arm B	ALREADY-FIXED-v0.111.0	CLOSE-CONFIRMED	CLOSE	ai-dlc-skill	brief-annotation	no-pc-id+no-receipt
654	PC-S296-ESCALATION-STATUS-APPENDS-INSTEAD-OF-REPLACING	HOLDS-MECHANISM-WRONG	n/a	LIVE	validators	brief-annotation	no-receipt
673	PC-S296-H2-ATTESTED-ANCHOR-DEFEATED-BY-BACKTICKS	HOLDS-WIDER	n/a	LIVE	validators	brief-annotation	no-receipt
687	PC-S296-SNAPSHOT-BUDGET-UNENFORCED-AT-GATES	FALSIFIED	REFUTED	LIVE (close withdrawn)	validators	brief-annotation	no-receipt
701	PC-S296-PIPELINE-POSITION-MUST-BE-EDITED-IN-PLACE	HOLDS-MECHANISM-WRONG	n/a	LIVE	hooks	brief-annotation	no-receipt
715	PC-S296-DEPLOY-VALIDATE-NA-RITUAL	FALSIFIED	REFUTED	LIVE (close withdrawn)	ai-dlc-skill	brief-annotation	no-receipt
728	PC-S296-PAUSE-SKIP-ARM-MISSES-TASK-NOTIFICATIONS	ALREADY-FIXED-v0.265.0	CLOSE-CONFIRMED	CLOSE	hooks	brief-annotation	no-receipt
