ai-dlc-skill	177	Rule 18 has no carve-out for terse traceability citations, though the codebase depends on one	HOLDS-MECHANISM-WRONG	brief-annotation	no-pc-id
ai-dlc-skill	269	extensions/steps-domain/stories-test-strategy-push.md	HOLDS	brief-annotation	no-pc-id+no-receipt
ai-dlc-skill	316	Decision-branch execution-coverage for sprint-review §3 "Fix and	HOLDS-WIDER	brief-annotation	no-pc-id
ai-dlc-skill	436	PC-S295-RETRO-STEP5C-DEADLOCK-ON-DEFERRED-RED	HOLDS-WIDER	changelog-cite	-
ai-dlc-skill	510	PC-S295-RETRO-CHECK5-SELF-REFERENTIAL	HOLDS	changelog-cite	-
ai-dlc-skill	577	PC-S295-RETRO-RED-SMOKE-CROSSING-SPRINT-BOUNDARY	HOLDS-WIDER	changelog-cite	-
ai-dlc-skill	715	PC-S296-DEPLOY-VALIDATE-NA-RITUAL	FALSIFIED	brief-annotation	no-receipt
ai-dlc-skill	1165	PC-S297-CHECK17-PRD-ARM-CONTRADICTS-RULE-20-BLOCK-PLACEMENT	HOLDS-WIDER	changelog-cite	-
ai-dlc-skill	1269	PC-S297-CHECK16-SCOPE-AMBIGUITY	HOLDS	changelog-cite	-
ai-dlc-skill	1346	PC-S297-RETRO-OVERRIDES-F1F2F3F6	HOLDS-WIDER	changelog-cite	-
ai-dlc-skill	1361	PC-S297-GATE-PROCEDURES-DISPATCH-NOT-MANDATED-BACKGROUND	HOLDS-MECHANISM-WRONG	changelog-cite	-
ai-dlc-skill	1571	PC-S299-UPSTREAM-SHIPS-TWO-REVIEW-VERDICT-VOCABULARIES	HOLDS-MECHANISM-WRONG	changelog-cite	-
ai-dlc-skill	2101	PC-S307-MACHINE-AUDITS-IS-A-CHILD-OF-4A-SO-EVERY-4A-SHADOW-SWALLOWS-IT	HOLDS	changelog-cite	-
fixtures	1622	PC-S299-PREPUSH-NONREPRODUCING-FAIL	HOLDS-MECHANISM-WRONG	changelog-cite	-
fixtures	3881	PC-S330-PREPUSH-LEAKS-GIT_DIR-INTO-EVERY-FIXTURE-SANDBOX	HOLDS-WIDER	brief-annotation	no-pc-id
hooks	701	PC-S296-PIPELINE-POSITION-MUST-BE-EDITED-IN-PLACE	HOLDS-MECHANISM-WRONG	brief-annotation	no-receipt
layer-extensions	226	extensions/checks/gate-validation-push.md	HOLDS-MECHANISM-WRONG	brief-annotation	no-pc-id+no-receipt
layer-extensions	252	extensions/steps-domain/deploy-validate-push.md	HOLDS-MECHANISM-WRONG	brief-annotation	no-pc-id+no-receipt
layer-extensions	255	extensions/steps-domain/retro-push.md	HOLDS-MECHANISM-WRONG	brief-annotation	no-pc-id+no-receipt
layer-extensions	259	extensions/steps-domain/implementation-push.md	HOLDS-MECHANISM-WRONG	brief-annotation	no-pc-id+no-receipt
layer-extensions	262	extensions/steps-domain/SKILL-push.md	HOLDS-MECHANISM-WRONG	brief-annotation	no-pc-id+no-receipt
layer-extensions	265	extensions/steps-domain/route-push.md	HOLDS	brief-annotation	no-pc-id+no-receipt
layer-extensions	267	extensions/steps-domain/sprint-review-push.md	HOLDS	brief-annotation	no-pc-id+no-receipt
