78	validate-ci-gates.sh → repoint the dormant-gate scan at a REAL enforcement surface, and	NOT-UPSTREAM	validators	NO-PC-ID
118	validate-retro-evidence.sh → resolve the retro branch via origin/<branch>, and delegate the	HOLDS-MECHANISM-WRONG	validators	NO-PC-ID
139	validate-mandatory-rules.sh → subset-mode flags and a shared gate-log-rotation predicate.	DUPLICATE-OF-pin1011	validators	NO-PC-ID
157	SKILL.md:665 cites the provenance-block schema at a path that does not resolve from the	ALREADY-FIXED-v0.143.6	ai-dlc-skill	NO-PC-ID
177	Rule 18 has no carve-out for terse traceability citations, though the codebase depends on one	HOLDS-MECHANISM-WRONG	ai-dlc-skill	NO-PC-ID
226	extensions/checks/gate-validation-push.md	HOLDS-MECHANISM-WRONG	layer-extensions	NO-PC-ID
252	extensions/steps-domain/deploy-validate-push.md	HOLDS-MECHANISM-WRONG	layer-extensions	NO-PC-ID
255	extensions/steps-domain/retro-push.md	HOLDS-MECHANISM-WRONG	layer-extensions	NO-PC-ID
259	extensions/steps-domain/implementation-push.md	HOLDS-MECHANISM-WRONG	layer-extensions	NO-PC-ID
262	extensions/steps-domain/SKILL-push.md	HOLDS-MECHANISM-WRONG	layer-extensions	NO-PC-ID
265	extensions/steps-domain/route-push.md	HOLDS	layer-extensions	NO-PC-ID
267	extensions/steps-domain/sprint-review-push.md	HOLDS	layer-extensions	NO-PC-ID
269	extensions/steps-domain/stories-test-strategy-push.md	HOLDS	ai-dlc-skill	NO-PC-ID
271	extensions/steps-domain/artifact-consolidation-push.md	ALREADY-FIXED-v0.33.2	ai-dlc-skill	NO-PC-ID
273	extensions/roles/code-reviewer-push.md	ALREADY-FIXED-v0.277.0	roles	NO-PC-ID
275	extensions/roles/qa-push.md	ALREADY-FIXED-v0.277.0	roles	NO-PC-ID
276	extensions/roles/dev-push.md	HOLDS-MECHANISM-WRONG	roles	NO-PC-ID
281	.claude/team-roles/tea.md	ALREADY-FIXED-v0.21.0	roles	NO-PC-ID
